,P.Name,PSI_P_RADIUS,PSI_P_MASS,PSI_P_ESCAPE,PSI_P_TEMP_SURF,PSI_Interior,PSI_Surface,PSI_Global
1203,HIP 38594 b,0.931368,0.95567,0.967431,0.918258,0.9434407541335068,0.9425238751342059,0.9429822031965663
852,HD 216520 c,0.890469,0.973938,0.975291,0.928028,0.9312688102379463,0.9513660474013144,0.941263792496131
2591,Kepler-1540 b,0.978484,0.873187,0.957845,0.948873,0.9243373348015324,0.9533484455774813,0.9387308247427869
3787,Kepler-443 b,0.997038,0.821324,0.950075,0.981167,0.9049260954973064,0.9654958505995767,0.9347204877940386
192,GJ 180 c,0.992605,0.847683,0.954678,0.950005,0.9172864243054074,0.9523386337800226,0.9346482226527656
188,GJ 163 c,0.976501,0.875327,0.95787,0.931921,0.924531065366113,0.944806418410671,0.9346137622451102
215,GJ 3293 d,0.947762,0.926203,0.963904,0.878345,0.936920491656576,0.9201305662132957,0.9284875779916523
998,HD 40307 g,0.964785,0.894181,0.959802,0.895155,0.9288123686111205,0.9269150766440257,0.927863237680584
4554,LTT 3780 c,0.986424,0.983207,0.999283,0.740062,0.9848141864169098,0.8599601011360934,0.9202721919906878
2605,Kepler-155 c,0.975536,0.792076,0.94789,0.973516,0.8790327938911039,0.9606175520153689,0.9189201981722366
191,GJ 180 b,0.988526,0.853957,0.95528,0.880442,0.9187810932871877,0.9170979412036644,0.9179391314627194
4923,TOI-712 d,0.980475,0.866713,0.956567,0.868705,0.9218407827141301,0.9115780469795222,0.916695053075242
2608,Kepler-1552 b,0.982474,0.866713,0.957167,0.852854,0.9227800322731305,0.9035063390026657,0.9130923330440673
223,GJ 3473 c,0.953365,0.914515,0.96223,0.823395,0.9337379680483171,0.8901097521373418,0.91166291539182
239,GJ 414 A b,0.953365,0.926203,0.96557,0.807919,0.9396858640497898,0.8832340283469609,0.9110227939439224
197,GJ 229 A c,0.915569,0.981843,0.970184,0.786649,0.9481271083915911,0.8736099091791485,0.9101061680113296
2736,Kepler-1653 b,0.962093,0.76643,0.94425,0.975665,0.8587065494043934,0.9598289828141261,0.9078609110709894
3334,Kepler-26 e,0.992605,0.84678,0.954415,0.842597,0.9167977213649693,0.8967648609055777,0.9067259680181258
1562,K2-332 b,0.96662,0.776833,0.946017,0.947664,0.8665461986876407,0.9468401418866861,0.9058039112946986
3442,Kepler-298 d,0.976501,0.875327,0.95787,0.819458,0.924531065366113,0.8859651429147763,0.9050427047693599
245,GJ 433 d,0.955211,0.75663,0.943359,0.97278,0.850141928697791,0.9579565585244458,0.9024405998583346
1733,K2-9 b,0.977736,0.794575,0.947972,0.894323,0.8814105639258019,0.9207568424703669,0.9008689181897368
2801,Kepler-1701 b,0.971101,0.784508,0.946967,0.899654,0.8728324600448817,0.9230073940213046,0.8975693925057999
284,GJ 887 c,0.947762,0.926203,0.963904,0.762727,0.936920491656576,0.8574354822422502,0.8962973131646677
2388,Kepler-1388 e,0.984483,0.86235,0.956504,0.790529,0.9213950917223295,0.8695654952998078,0.8951052336459324
233,GJ 3929 c,0.977736,0.796318,0.948491,0.861669,0.8823767766934939,0.9040383241207199,0.8931418825948254
4790,TOI-1468 c,0.93872,0.864318,0.979883,0.795472,0.9007511270933831,0.8828756932751065,0.891768622346012
270,GJ 685 b,0.90367,0.995847,0.972993,0.721508,0.9486395830292979,0.8378676706043742,0.8915348774309744
4155,Kepler-705 b,0.948219,0.745019,0.941934,0.945443,0.8405005479837595,0.9436868690206514,0.8906005448779692
3929,Kepler-538 b,0.971101,0.920557,0.96922,0.725356,0.9454913131578735,0.838468569667343,0.8903733761610239
4848,TOI-2257 b,0.96662,0.774251,0.945241,0.887483,0.8651049078695601,0.9159068284509074,0.8901435235084976
1986,Kepler-1090 b,0.977736,0.794575,0.947972,0.847251,0.8814105639258019,0.8961976483856672,0.8887733539280914
2849,Kepler-174 d,0.964363,0.774251,0.945922,0.880406,0.864094333457291,0.9125762457636074,0.8880044835540309
1290,K2-125 b,0.962093,0.771656,0.945826,0.876662,0.8616291754623912,0.9105875646043053,0.8857701803946182
3782,Kepler-439 b,0.975536,0.792076,0.94789,0.838432,0.8790327938911039,0.8914826462023813,0.885235833660564
3258,Kepler-235 e,0.971101,0.784508,0.946967,0.850122,0.8728324600448817,0.897238808776125,0.8849514996381466
228,GJ 357 d,0.994936,0.825811,0.952028,0.780941,0.9064375836735808,0.8622515284695064,0.8840685448452236
266,GJ 676 A e,0.980475,0.867798,0.956882,0.746142,0.9224176082718716,0.8449673657863953,0.8828435742624343
2472,Kepler-1455 b,0.959811,0.763799,0.944143,0.875672,0.8562141566156215,0.909263212219652,0.882340089983596
957,HD 3167 e,0.882426,0.959431,0.97701,0.730502,0.9201232850037,0.8448122625885588,0.8816640143866558
2997,Kepler-1858 b,0.990561,0.851278,0.955111,0.746174,0.9182825202289326,0.8442031718218074,0.8804640913778301
4547,LP 791-18 c,0.988568,0.814161,0.950515,0.783779,0.8971362836537156,0.8631301733718965,0.8799689744804929
2561,Kepler-152 c,0.99672,0.83996,0.953662,0.750364,0.9149890333769034,0.8459276759676326,0.879780965093241
4034,Kepler-61 b,0.957517,0.761154,0.944035,0.855652,0.8537083194030617,0.8987577180864706,0.8759434576832751
193,GJ 180 d,0.949622,0.923888,0.963796,0.69455,0.936666627106998,0.8181714440140282,0.8754164076940081
1888,Kepler-1020 b,0.982102,0.804458,0.949592,0.773365,0.888853087251206,0.8569604524597386,0.8727611035220515
3353,Kepler-267 d,0.982102,0.802004,0.948865,0.768674,0.8874963281095872,0.8540303595364745,0.8706025546612712
3482,Kepler-310 d,0.982474,0.888392,0.963417,0.680955,0.9342494537370626,0.8099651987801698,0.8698905359333465
1632,K2-384 f,0.971101,0.784508,0.946967,0.789538,0.8728324600448817,0.8646770676073235,0.8687451939804298
2986,Kepler-1849 b,0.99672,0.83996,0.953662,0.712298,0.9149890333769034,0.8241914433406841,0.8684043597655458
582,HD 136352 d,0.964785,0.994799,0.988314,0.597331,0.9796770657798415,0.7683427555030371,0.8675988567445289
219,GJ 3341 b,0.984483,0.86235,0.956504,0.691363,0.9213950917223295,0.8131982998949272,0.8656078339063995
301,Gl 686 b,0.982474,0.863226,0.956156,0.691774,0.9209218756897894,0.8132919898437461,0.8654353729599824
2676,Kepler-1606 b,0.941114,0.731209,0.939844,0.86508,0.8295486886409984,0.9016874444728616,0.8648662538950838
2007,Kepler-1101 b,0.982474,0.866713,0.957167,0.685374,0.9227800322731305,0.8099489955904631,0.8645257429889275
1328,K2-152 b,0.984268,0.8069,0.949663,0.730982,0.8911822760804884,0.8331785877385472,0.8616925148812454
3780,Kepler-437 b,0.952893,0.755827,0.943815,0.80848,0.848659093812704,0.8735305095988347,0.8610050003884394
253,GJ 581 c,0.968867,0.779404,0.946111,0.767056,0.8689872353884146,0.8518920819070923,0.8603972019397349
2093,Kepler-1168 b,0.976501,0.875327,0.95787,0.659991,0.924531065366113,0.795100986774636,0.857377141272382
4538,LHS 1140 b,0.83703,0.846102,0.995535,0.763758,0.8415537755010075,0.8719792546442834,0.856631445783104
4256,Kepler-786 b,0.988526,0.853511,0.95515,0.666797,0.9185411339651589,0.798054606245713,0.8561810456831286
938,HD 285968 b,0.920771,0.964798,0.966882,0.622031,0.9425274633972212,0.7755195531654892,0.8549552486885
288,GJ 9689 b,0.885625,0.963812,0.976719,0.633353,0.9238917699059777,0.7865163118505554,0.8524411694747805
1914,Kepler-1040 b,0.943495,0.736773,0.940836,0.806822,0.8337515467062115,0.8712560950673459,0.8522975518207323
4835,TOI-2136 b,0.964363,0.845424,0.966885,0.667893,0.9029372209140566,0.8036017193268068,0.8518226946793004
3435,Kepler-296 d,0.943495,0.739535,0.941683,0.800147,0.8353128604451149,0.8680350381182779,0.8515167823696507
204,GJ 3082 b,0.927807,0.96124,0.967959,0.60725,0.9443755612466896,0.7666766611486227,0.8508999366358941
2931,Kepler-1802 c,0.990702,0.818947,0.951284,0.673662,0.9007399351610874,0.8005272525079955,0.8491565612528325
3398,Kepler-283 c,0.882566,0.64062,0.92881,0.984705,0.7519238198913504,0.9563492306945199,0.8479986831911814
4323,Kepler-83 c,0.999128,0.885467,0.967534,0.599363,0.9405821988406967,0.7615143339701492,0.8463254850790868
182,GJ 1265 b,0.955248,0.913923,0.962621,0.609678,0.9343570612480007,0.7660867092163915,0.8460487729939564
2563,Kepler-1521 b,0.976501,0.875327,0.95787,0.622816,0.924531065366113,0.7723838177486632,0.845040137445978
3848,Kepler-482 b,0.999128,0.830725,0.952208,0.64479,0.9110436914879549,0.7835650555761149,0.8449035452363945
3784,Kepler-440 b,0.903791,0.656714,0.927603,0.918794,0.770410411906537,0.923187993196402,0.8433466915246715
1853,Kapteyn c,0.968657,0.887976,0.959172,0.606067,0.9274395765935375,0.7624450777098637,0.8409053097983522
2714,Kepler-1638 b,0.895945,0.659882,0.931025,0.905094,0.7689070024977013,0.9179679413519842,0.8401380708990278
2168,Kepler-1227 b,0.984268,0.8069,0.949663,0.660513,0.8911822760804884,0.7920004779790225,0.8401290309364271
4737,Ross 508 b,0.885273,0.643549,0.928947,0.938114,0.7547957034039079,0.9335192477704999,0.8394142703469017
258,GJ 667 C c,0.871582,0.624087,0.926683,0.979797,0.7375249118734906,0.9528699928904257,0.8383110147990451
1334,K2-155 d,0.903791,0.669287,0.931674,0.874451,0.7777503243438733,0.9026091407547344,0.8378571190708709
237,GJ 3998 c,0.998791,0.837667,0.953614,0.617131,0.9146880673743372,0.7671406399311668,0.8376720058250432
2708,Kepler-1632 b,0.982474,0.866713,0.957167,0.603135,0.9227800322731305,0.7598032104071422,0.837335793466833
590,HD 13808 c,0.877674,0.949174,0.978499,0.602243,0.9127241320771572,0.7676549832164187,0.8370527034129395
4788,TOI-1452 b,0.845902,0.721907,0.965657,0.832284,0.7814490227225318,0.8964936534008481,0.8369970664984704
1553,K2-323 b,0.945863,0.742284,0.941809,0.741408,0.8379134627704702,0.8356223591264178,0.8367671268065244
3087,Kepler-1926 b,0.990702,0.81656,0.95058,0.637083,0.8994262755334647,0.7782020034284157,0.8366213776591538
2598,Kepler-1544 b,0.874352,0.624087,0.925834,0.969678,0.7386959568212079,0.9475024334807801,0.8366099549315127
2418,Kepler-1410 b,0.874352,0.624087,0.925834,0.968297,0.7386959568212079,0.9468274841268604,0.8363119240640469
2047,Kepler-1132 b,0.997038,0.828391,0.952153,0.62203,0.9088109296536876,0.769589325932994,0.8363080716773689
1522,K2-286 b,0.945863,0.742284,0.941809,0.736898,0.8379134627704702,0.833076928309745,0.835491695802062
3020,Kepler-1874 b,0.968867,0.781962,0.946878,0.677337,0.8704120731320311,0.8008467418214299,0.8349051879164623
4770,TOI-1266 b,0.999128,0.810354,0.945668,0.629869,0.8998040738471904,0.7717816773492359,0.8333380450930225
1368,K2-18 c,0.951489,0.920784,0.963465,0.57096,0.9360106021707233,0.7416872497218757,0.8332029340049881
3342,Kepler-263 c,0.982474,0.866713,0.957167,0.589946,0.9227800322731305,0.7514498273218245,0.83272017863606
243,GJ 433 b,0.992824,0.821561,0.951414,0.61621,0.903142003377099,0.7656832379907503,0.8315772324391947
2946,Kepler-1816 b,0.919092,0.696635,0.935738,0.795011,0.8001697666245582,0.8625091321939727,0.8307549163376654
822,HD 20794 e,0.93146,0.717342,0.938472,0.759387,0.8174199528516539,0.8441939567800755,0.8306990937450338
128,EPIC 201238110 b,0.895945,0.659882,0.931025,0.853963,0.7689070024977013,0.891661876540093,0.8280127177356145
2072,Kepler-1151 b,0.971101,0.784508,0.946967,0.646543,0.8728324600448817,0.7824671782771466,0.8264156049591627
2540,Kepler-1503 b,0.982102,0.802004,0.948865,0.621953,0.8874963281095872,0.7682118414506508,0.8257028451554209
2817,Kepler-1716 b,0.990561,0.851278,0.955111,0.575137,0.9182825202289326,0.7411610318999509,0.8249819514804935
3246,Kepler-230 c,0.933893,0.722759,0.939417,0.730257,0.8215714033405739,0.8282607319974792,0.824909287084986
997,HD 40307 f,0.952893,0.755827,0.943815,0.680419,0.848659093812704,0.8013673679936063,0.8246743019717091
4192,Kepler-737 b,0.916577,0.693659,0.935561,0.770082,0.797365590706672,0.8487983777093356,0.8226801443046193
1524,K2-288 B b,0.903791,0.669287,0.931674,0.810958,0.7777503243438733,0.8692229194470197,0.8222155480937149
1096,HD 73583 c,0.99672,0.96139,0.990212,0.480258,0.978895623036491,0.6896065796495855,0.8216160066820416
250,GJ 514 b,0.952893,0.754756,0.94349,0.670955,0.8480576095454836,0.7956376894981786,0.8214296056389233
2215,Kepler-1261 b,0.979924,0.797063,0.948053,0.614373,0.8837766478087097,0.7631894691156319,0.8212728113470712
4442,Kepler-925 b,0.994936,0.82369,0.951405,0.578583,0.9052727952611853,0.7419344709035967,0.8195444419770824
257,GJ 667 C b,0.973324,0.797063,0.95004,0.61069,0.8807954061029155,0.7616954296830196,0.8190835337829653
5210,tau Cet e,0.879844,0.636365,0.928237,0.856292,0.7482659467462086,0.8915390721690216,0.816766997311834
905,HD 238090 b,0.972562,0.881269,0.958407,0.539724,0.9257908733499159,0.7192185062051727,0.8159938290141101
923,HD 26965 b,0.91903,0.976175,0.9696,0.507387,0.9471716371650917,0.7014003387509875,0.8150745408629341
3844,Kepler-48 d,0.933893,0.946728,0.995631,0.50114,0.9402886004328671,0.706364296478807,0.8149762547042732
1555,K2-325 b,0.96662,0.776833,0.946017,0.619961,0.8665461986876407,0.7658287310730775,0.8146324175707439
2706,Kepler-1630 b,0.964363,0.774251,0.945922,0.623055,0.864094333457291,0.767698789702055,0.8144717146614523
1601,K2-367 b,0.992605,0.849034,0.955072,0.542874,0.9180170987350943,0.7200581621841391,0.8130348731566238
4867,TOI-270 d,0.952893,0.7182,0.932242,0.682094,0.8272652250638848,0.7974187574593414,0.812204905094623
300,Gl 49 b,0.975536,0.789817,0.947217,0.594463,0.8777783985220872,0.7503902048074721,0.811588758080448
3794,Kepler-445 c,0.982474,0.877457,0.960271,0.521534,0.9284819269204975,0.7076821148750334,0.8105985773897854
3260,Kepler-236 c,0.92408,0.708392,0.937917,0.702228,0.8090802675631139,0.811561198601806,0.8103197836092801
268,GJ 682 b,0.911506,0.682816,0.933661,0.736092,0.7889175374498909,0.829011696426534,0.8087161838753926
3470,Kepler-306 e,0.982102,0.802004,0.948865,0.571883,0.8874963281095872,0.7366408641902783,0.8085580140622842
2956,Kepler-1824 b,0.998791,0.837667,0.953614,0.534265,0.9146880673743372,0.7137804870616736,0.8080139195830449
3902,Kepler-52 d,0.914048,0.68766,0.934429,0.724624,0.792814131861939,0.8228667447989376,0.8077006771792565
4927,TOI-776 c,0.929013,0.763271,0.953246,0.627869,0.8420740356542291,0.7736366154558612,0.8071302911592378
4464,Kepler-942 b,0.952893,0.753145,0.943,0.626763,0.8471520515733878,0.7687896389780496,0.807020272290987
1417,K2-21 c,0.978484,0.873187,0.957845,0.518193,0.9243373348015324,0.7045201019736769,0.806978459051078
4817,TOI-178 f,0.984268,0.93346,0.986047,0.466816,0.9585274160294007,0.6784559796714891,0.806423373349389
2319,Kepler-1337 b,0.992605,0.84678,0.954415,0.522397,0.9167977213649693,0.7061044772234488,0.8045837282496214
1894,Kepler-1026 b,0.968867,0.781962,0.946878,0.583701,0.8704120731320311,0.7434336792734104,0.8044213137483011
1845,KOI-7913 b,0.994936,0.82369,0.951405,0.536298,0.9052727952611853,0.7143084758631946,0.8041417975851218
3809,Kepler-452 b,0.834037,0.568006,0.918967,0.960368,0.688286292339169,0.9394394604528808,0.8041164735983356
4453,Kepler-934 b,0.943495,0.739535,0.941683,0.63548,0.8353128604451149,0.7735765720599351,0.8038522620361971
5161,Wolf 1061 c,0.842963,0.57999,0.92042,0.923624,0.6992210740316684,0.9220206082729387,0.8029297852215576
2145,Kepler-121 c,0.982102,0.802004,0.948865,0.556033,0.8874963281095872,0.726360965736045,0.8028964378877724
2275,Kepler-1309 b,0.999128,0.833049,0.952889,0.519951,0.9123171495001068,0.703886062114459,0.8013534337363997
2389,Kepler-1389 b,0.871582,0.620727,0.925557,0.823496,0.7355368652311045,0.8730363607960437,0.8013428904362311
3076,Kepler-1918 b,0.986424,0.809332,0.949734,0.543492,0.8935012639991059,0.7184516901838285,0.8012100182234024
3129,Kepler-196 c,0.975536,0.792076,0.94789,0.560371,0.8790327938911039,0.7288141513376369,0.8004071087126206
3437,Kepler-296 f,0.879844,0.634061,0.927474,0.792848,0.7469101461916285,0.8575231226923272,0.8003078913348461
