,P.Name,PSI_P_RADIUS,PSI_P_MASS,PSI_P_ESCAPE,PSI_P_TEMP_EQUIL,PSI_Interior,PSI_Surface,PSI_Global
4537,L 98-59 e,0.998787,0.836393,0.921602,0.954691,0.9139904021875722,0.938000605000871,0.9259176800433893
255,GJ 625 b,0.953268,0.876645,0.930275,0.922003,0.9141540493046016,0.9261297645713585,0.9201224236287391
3700,Kepler-395 c,0.83571,0.977544,0.949279,0.913838,0.9038491556891559,0.931389941325329,0.9175162189761396
1535,K2-3 c,0.998787,0.985937,0.996764,0.711805,0.9923412006054168,0.8423191788271237,0.9142581830152119
217,GJ 3323 b,0.762745,0.957688,0.960736,0.966978,0.8546763911329246,0.9638519470375105,0.9076240982259464
177,GJ 1132 c,0.91467,0.908875,0.936403,0.870146,0.9117678960404342,0.9026667850530449,0.9072059277988639
238,GJ 411 b,0.922437,0.900012,0.9341,0.826438,0.911155513205073,0.8786214974606529,0.8947406447858346
3934,Kepler-54 d,0.976137,0.853408,0.924573,0.824367,0.9127119616264487,0.8730334874969001,0.8926522878136119
3965,Kepler-560 b,0.903557,0.75974,0.907052,0.997036,0.8285338829402211,0.9509802825884457,0.887648233329281
1129,HD 85512 b,0.903557,0.772457,0.913171,0.965769,0.83543936317904,0.939101828077765,0.8857554025855898
1709,K2-72 c,0.713186,0.858887,0.993281,0.989408,0.7826532974325222,0.9913426086111703,0.8808391235151234
3298,Kepler-249 d,0.993732,0.83187,0.921116,0.783179,0.9092061586021071,0.8493519339849648,0.8787695996105807
3798,Kepler-446 d,0.851686,0.958592,0.94446,0.771189,0.9035592875467553,0.8534384353543025,0.878141346603012
4852,TOI-237 b,0.91467,0.904126,0.93422,0.7639,0.9093827183425028,0.8447784668183724,0.8764855609492397
1631,K2-384 e,0.851686,0.961922,0.945981,0.759286,0.9051273393793826,0.8475081884949549,0.8758440681734843
3002,Kepler-186 e,0.795386,0.989638,0.954373,0.782259,0.8872114800136437,0.8640410109520266,0.8755496011758742
216,GJ 3293 e,0.957538,0.802922,0.91547,0.811251,0.8768285613710357,0.8617864892013567,0.8692749895950195
2476,Kepler-1459 b,0.859639,0.952655,0.94364,0.733193,0.9049527012750446,0.8317873781922878,0.8675991210124627
4536,L 98-59 d,0.976137,0.936877,0.97935,0.620979,0.9563055495755528,0.7798434353445568,0.8635789512372702
4139,Kepler-69 c,0.903557,0.763932,0.909073,0.884527,0.8308165297609336,0.8967160160669597,0.8631375838473268
2467,Kepler-1450 b,0.903557,0.763932,0.909073,0.859217,0.8308165297609336,0.8837935142560167,0.8568957115888747
2645,Kepler-1582 b,0.953268,0.875536,0.929762,0.690664,0.913575640901179,0.8013445837890214,0.8556219327002691
3213,Kepler-220 e,0.843709,0.971371,0.948386,0.686125,0.9052924693373959,0.8066668111742294,0.8545580082243927
184,GJ 15 A b,0.998787,0.841477,0.923978,0.67146,0.9167640309256249,0.7876638038401917,0.8497657582079575
3637,Kepler-369 c,0.899064,0.922194,0.938928,0.6668,0.9105555592142633,0.7912503967771517,0.8488094294456955
1302,K2-133 e,0.897127,0.751492,0.904545,0.850724,0.821086940271248,0.8772218308842981,0.8486903964697199
1711,K2-72 e,0.811581,0.997261,0.9524,0.671258,0.899643306895016,0.7995662068897109,0.8481299348848407
2389,Kepler-1389 b,0.872073,0.735521,0.902602,0.887621,0.8008920058491033,0.8950801583333193,0.8466773549607342
199,GJ 251 b,0.842185,0.709511,0.896876,0.954767,0.7730068056201058,0.9253689036767985,0.8457638324327788
2551,Kepler-1512 b,0.729782,0.888212,0.984086,0.802084,0.8051093899489684,0.888436624202312,0.8457474023133883
3795,Kepler-445 d,0.770936,0.976188,0.954373,0.686901,0.8675128079561707,0.809666454827542,0.8380906989910811
3633,Kepler-367 c,0.746302,0.918608,0.974402,0.72972,0.8279848957656172,0.8432322499999629,0.8355737948394661
2992,Kepler-1853 b,0.968538,0.859768,0.92585,0.619721,0.9125338235835426,0.7574752060958827,0.8313974657697771
4941,TRAPPIST-1 c,0.671387,0.746243,0.964593,0.964018,0.7078261432308077,0.9643054571420822,0.8261722657081276
201,GJ 273 b,0.968538,0.8646,0.928094,0.583271,0.9150945059391407,0.7357515310714616,0.8205377406431744
227,GJ 357 c,0.93675,0.785608,0.911903,0.66936,0.8578568027357479,0.7812754905153495,0.8186711759609598
5161,Wolf 1061 c,0.93675,0.784273,0.911266,0.668944,0.8571276058732445,0.7807598370203221,0.8180530605451051
5210,tau Cet e,0.853956,0.717602,0.898076,0.808672,0.7828157723960345,0.8522023909095773,0.8167725955721262
3433,Kepler-296 b,0.964619,0.813299,0.918799,0.615559,0.885733406890019,0.7520472017373643,0.8161576625486898
174,GJ 1061 c,0.729782,0.882829,0.986571,0.69452,0.8026660035643718,0.8277640309411856,0.8151184248990427
4192,Kepler-737 b,0.77635,0.655429,0.885692,0.966539,0.7133318331253695,0.9252328679786511,0.8124026451108183
3861,Kepler-49 e,0.998787,0.837405,0.922075,0.56146,0.9145431798089142,0.7195194434481947,0.8111914692262563
2946,Kepler-1816 b,0.771211,0.652341,0.885393,0.96288,0.7092901768324442,0.9233240015509182,0.8092617897403107
4539,LHS 1140 c,0.721493,0.889104,0.981495,0.670701,0.8009259093524195,0.8113505272044876,0.8061213672920593
3809,Kepler-452 b,0.957538,0.799214,0.913713,0.603591,0.874801563288498,0.7426364813170707,0.8060146120333321
4788,TOI-1452 b,0.929969,0.626651,0.834527,0.86569,0.7633911211292675,0.8499656926194139,0.8055161469580537
171,G 264-012 c,0.878239,0.73945,0.903077,0.717293,0.8058621647341436,0.8048421028754646,0.8053519723030436
3781,Kepler-438 b,0.688158,0.79743,0.984607,0.775329,0.7407819071359667,0.8737244191980673,0.8045118032476647
2848,Kepler-174 c,0.953268,0.875536,0.929762,0.535218,0.913575640901179,0.7054256573984249,0.8027824718227856
1630,K2-384 d,0.883363,0.932757,0.940122,0.535984,0.9077240890220992,0.7098523438349696,0.8027141908224869
128,EPIC 201238110 b,0.819352,0.691438,0.893366,0.814023,0.7526826078607104,0.8527722271615088,0.8011659153078784
